City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
526,Hobyo,SO,79.93,5.35,48.53,broken clouds,Osmani Hotel
530,Chaman,PK,75.6,30.92,66.45,clear sky,Niamatt parda Center
531,Tabou,CI,76.59,4.42,-7.35,overcast clouds,hotêl doufoulougou
533,Kilindoni,TZ,79.25,-7.91,39.67,broken clouds,Bustani B&B
534,Abu Dhabi,AE,90.0,24.47,54.37,clear sky,Beach Rotana
538,Necocli,CO,87.8,8.42,-76.79,scattered clouds,Hotel Boutique El Turista
540,Baghdad,IQ,80.6,33.34,44.4,clear sky,Baghdad Hotel
545,Isla Mujeres,MX,87.8,21.23,-86.73,broken clouds,Hotel La Joya Isla Mujeres
552,Cotonou,BJ,77.0,6.37,2.42,thunderstorm with light rain,Novotel Cotonou Orisha
556,Manaure,CO,89.76,11.78,-72.44,overcast clouds,Del mar vendra
562,Kibala,TD,78.8,9.11,18.35,broken clouds,
565,Sabha,LY,83.16,27.04,14.43,clear sky,محطة ام الارانب -سبها مواصلات
570,Coxim,BR,75.74,-18.51,-54.76,clear sky,Hotel Avenida
