City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
59,Muros,ES,42.78,-9.06,62.01,94,19,4.32,few clouds,0.0,0.0
60,Trofaiach,AT,47.42,15.0,62.01,87,89,3.36,overcast clouds,0.0,0.0
61,Barao De Melgaco,BR,-16.19,-55.97,89.6,31,0,5.82,clear sky,0.0,0.0
62,Kabo,CF,7.7,18.63,70.29,89,69,2.55,broken clouds,0.0,0.0
63,Thunder Bay,CA,48.4,-89.32,69.8,64,75,6.93,broken clouds,0.0,0.0
64,Tsaratanana,MG,-16.78,47.65,68.4,68,4,11.43,clear sky,0.0,0.0
65,Grindavik,IS,63.84,-22.43,59.0,58,99,23.04,overcast clouds,0.0,0.0
66,Cockburn Town,TC,21.46,-71.14,86.0,70,40,9.17,scattered clouds,0.0,0.0
67,Urla,TR,38.32,26.76,73.4,73,0,3.42,clear sky,0.0,0.0
68,Chuy,UY,-33.7,-53.46,58.96,94,73,6.44,broken clouds,0.0,0.0
69,Nauta,PE,-4.51,-73.58,80.04,92,21,1.61,light rain,0.55,0.0
70,Georgetown,MY,5.41,100.34,80.6,94,20,5.7,few clouds,0.0,0.0
71,Caxias,PT,38.7,-9.28,68.0,82,20,18.34,few clouds,0.0,0.0
72,Bata,GQ,1.86,9.77,76.59,87,40,10.67,scattered clouds,0.0,0.0
73,Bathsheba,BB,13.22,-59.52,84.2,79,40,23.04,haze,0.0,0.0
74,Saint Anthony,US,45.02,-93.22,80.6,44,1,8.05,clear sky,0.0,0.0
75,Koungou,YT,-12.73,45.2,78.8,78,92,14.99,overcast clouds,0.0,0.0
76,Calabozo,VE,8.92,-67.43,82.53,82,37,4.97,scattered clouds,0.0,0.0
77,Visby,SE,57.64,18.3,55.99,93,54,5.82,broken clouds,0.0,0.0
78,Tselinnoye,RU,53.08,85.67,44.65,86,92,2.19,overcast clouds,0.0,0.0
79,Abrego,CO,8.08,-73.22,72.5,75,67,5.64,light rain,0.37,0.0
80,Prado,BR,-17.34,-39.22,70.72,76,0,5.12,clear sky,0.0,0.0
81,Rawson,AR,-43.3,-65.1,50.81,48,69,6.98,broken clouds,0.0,0.0
82,Goderich,CA,43.75,-81.72,84.99,81,85,4.54,overcast clouds,0.0,0.0
83,Samandag,TR,36.08,35.98,71.6,83,0,10.29,clear sky,0.0,0.0
84,Cascais,PT,38.7,-9.42,68.0,93,0,21.99,clear sky,0.0,0.0
85,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,50,75,8.05,broken clouds,0.0,0.0
86,Damghan,IR,36.17,54.35,74.52,26,0,6.87,clear sky,0.0,0.0
87,Berlevag,NO,70.86,29.09,45.18,81,19,10.51,few clouds,0.0,0.0
88,Lebu,CL,-37.62,-73.65,50.34,85,100,10.85,overcast clouds,0.0,0.0
89,Cayenne,GF,4.93,-52.33,82.4,78,20,6.93,few clouds,0.0,0.0
90,Quatre Cocos,MU,-20.21,57.76,70.0,77,75,11.41,shower rain,0.0,0.0
91,Aliganj,IN,27.5,79.18,87.12,51,0,2.89,clear sky,0.0,0.0
92,Akureyri,IS,65.68,-18.09,60.8,55,20,24.16,few clouds,0.0,0.0
93,Vila Velha,BR,-20.33,-40.29,75.2,78,0,11.41,clear sky,0.0,0.0
94,Maragogi,BR,-9.01,-35.22,76.19,71,0,10.92,clear sky,0.0,0.0
95,Zogno,IT,45.79,9.66,71.01,68,0,6.93,clear sky,0.0,0.0
96,Klaksvik,FO,62.23,-6.59,50.0,100,100,12.75,overcast clouds,0.0,0.0
97,Bardiyah,LY,31.76,25.09,70.34,80,0,15.03,clear sky,0.0,0.0
98,Margate,GB,51.38,1.39,62.01,76,30,1.99,scattered clouds,0.0,0.0
99,Buchanan,LR,5.88,-10.05,77.34,89,100,8.14,light rain,0.31,0.0
100,Nadym,RU,65.53,72.52,45.0,95,7,9.91,clear sky,0.0,0.0
101,Olinda,BR,-8.01,-34.86,80.6,65,40,11.41,scattered clouds,0.0,0.0
102,Lima,PE,-12.04,-77.03,64.4,77,90,6.93,overcast clouds,0.0,0.0
103,Coquimbo,CL,-29.95,-71.34,59.0,82,7,11.41,clear sky,0.0,0.0
104,Port Elizabeth,ZA,-33.92,25.57,57.2,87,4,8.05,light rain,0.12,0.0
105,Segou,ML,13.43,-6.22,97.29,23,40,7.65,scattered clouds,0.0,0.0
106,Kruisfontein,ZA,-34.0,24.73,53.91,81,0,6.26,clear sky,0.0,0.0
107,Bonthe,SL,7.53,-12.51,79.34,85,100,7.31,overcast clouds,0.0,0.0
108,Luanda,AO,-8.84,13.23,73.4,88,20,4.7,few clouds,0.0,0.0
109,Mar Del Plata,AR,-38.0,-57.56,54.0,66,60,11.41,broken clouds,0.0,0.0
110,Bredasdorp,ZA,-34.53,20.04,57.2,93,70,3.85,broken clouds,0.0,0.0
111,Coihaique,CL,-45.58,-72.07,42.8,75,40,5.82,scattered clouds,0.0,0.0
112,Santa Rosa De Aguan,HN,15.95,-85.72,85.6,69,0,27.25,clear sky,0.0,0.0
113,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.46,72,0,10.8,clear sky,0.0,0.0
114,Namibe,AO,-15.2,12.15,69.28,60,0,0.25,clear sky,0.0,0.0
115,Husavik,IS,66.04,-17.34,60.8,55,20,24.16,few clouds,0.0,0.0
116,Cedeno,CO,7.05,-72.16,75.69,80,40,1.5,light rain,0.79,0.0
117,Cape Town,ZA,-33.93,18.42,57.0,93,40,8.05,scattered clouds,0.0,0.0
118,Tingi,TZ,-11.3,35.03,54.43,71,0,1.54,clear sky,0.0,0.0
119,Batticaloa,LK,7.71,81.69,83.05,68,100,14.76,overcast clouds,0.0,0.0
120,Conceicao Do Araguaia,BR,-8.26,-49.26,86.0,51,28,4.7,scattered clouds,0.0,0.0
121,Necochea,AR,-38.55,-58.74,52.0,82,15,5.99,few clouds,0.0,0.0
122,Masvingo,ZW,-20.06,30.83,52.03,56,0,3.47,clear sky,0.0,0.0
123,Oranjemund,NA,-28.55,16.43,56.12,84,0,6.35,clear sky,0.0,0.0
124,Peniche,PT,39.36,-9.38,68.0,87,2,13.0,clear sky,0.0,0.0
125,Port Hawkesbury,CA,45.62,-61.35,54.0,93,90,11.41,overcast clouds,0.0,0.0
126,Les Escoumins,CA,48.11,-69.02,67.66,79,19,2.24,light rain,0.97,0.0
127,Sindou,BF,10.67,-5.17,80.01,63,74,3.78,light rain,0.12,0.0
